row_index,column_index,acquisition_index,scan_direction,x_voltage,y_voltage,intensity
27,100,0,reverse,1.000,0.540,429.0
27,99,1,reverse,0.980,0.540,430.0
27,98,2,reverse,0.960,0.540,427.0
27,97,3,reverse,0.940,0.540,427.0
27,96,4,reverse,0.920,0.540,427.0
27,95,5,reverse,0.900,0.540,430.0
27,94,6,reverse,0.880,0.540,428.0
27,93,7,reverse,0.860,0.540,427.0
27,92,8,reverse,0.840,0.540,429.0
27,91,9,reverse,0.820,0.540,425.0
27,90,10,reverse,0.800,0.540,429.0
27,89,11,reverse,0.780,0.540,424.0
27,88,12,reverse,0.760,0.540,427.0
27,87,13,reverse,0.740,0.540,430.0
27,86,14,reverse,0.720,0.540,429.0
27,85,15,reverse,0.700,0.540,428.0
27,84,16,reverse,0.680,0.540,427.0
27,83,17,reverse,0.660,0.540,428.0
27,82,18,reverse,0.640,0.540,432.0
27,81,19,reverse,0.620,0.540,427.0
27,80,20,reverse,0.600,0.540,430.0
27,79,21,reverse,0.580,0.540,429.0
27,78,22,reverse,0.560,0.540,428.0
27,77,23,reverse,0.540,0.540,422.0
27,76,24,reverse,0.520,0.540,434.0
27,75,25,reverse,0.500,0.540,430.0
27,74,26,reverse,0.480,0.540,435.0
27,73,27,reverse,0.460,0.540,435.0
27,72,28,reverse,0.440,0.540,429.0
27,71,29,reverse,0.420,0.540,431.0
27,70,30,reverse,0.400,0.540,433.0
27,69,31,reverse,0.380,0.540,436.0
27,68,32,reverse,0.360,0.540,438.0
27,67,33,reverse,0.340,0.540,435.0
27,66,34,reverse,0.320,0.540,438.0
27,65,35,reverse,0.300,0.540,441.0
27,64,36,reverse,0.280,0.540,441.0
27,63,37,reverse,0.260,0.540,444.0
27,62,38,reverse,0.240,0.540,443.0
27,61,39,reverse,0.220,0.540,445.0
27,60,40,reverse,0.200,0.540,442.0
27,59,41,reverse,0.180,0.540,443.0
27,58,42,reverse,0.160,0.540,440.0
27,57,43,reverse,0.140,0.540,445.0
27,56,44,reverse,0.120,0.540,439.0
27,55,45,reverse,0.100,0.540,437.0
27,54,46,reverse,0.080,0.540,438.0
27,53,47,reverse,0.060,0.540,434.0
27,52,48,reverse,0.040,0.540,436.0
27,51,49,reverse,0.020,0.540,438.0
27,50,50,reverse,0.000,0.540,436.0
27,49,51,reverse,-0.020,0.540,434.0
27,48,52,reverse,-0.040,0.540,436.0
27,47,53,reverse,-0.060,0.540,435.0
27,46,54,reverse,-0.080,0.540,431.0
27,45,55,reverse,-0.100,0.540,433.0
27,44,56,reverse,-0.120,0.540,433.0
27,43,57,reverse,-0.140,0.540,434.0
27,42,58,reverse,-0.160,0.540,434.0
27,41,59,reverse,-0.180,0.540,431.0
27,40,60,reverse,-0.200,0.540,434.0
27,39,61,reverse,-0.220,0.540,433.0
27,38,62,reverse,-0.240,0.540,433.0
27,37,63,reverse,-0.260,0.540,433.0
27,36,64,reverse,-0.280,0.540,438.0
27,35,65,reverse,-0.300,0.540,449.0
27,34,66,reverse,-0.320,0.540,456.0
27,33,67,reverse,-0.340,0.540,460.0
27,32,68,reverse,-0.360,0.540,461.0
27,31,69,reverse,-0.380,0.540,460.0
27,30,70,reverse,-0.400,0.540,457.0
27,29,71,reverse,-0.420,0.540,454.0
27,28,72,reverse,-0.440,0.540,450.0
27,27,73,reverse,-0.460,0.540,449.0
27,26,74,reverse,-0.480,0.540,448.0
27,25,75,reverse,-0.500,0.540,448.0
27,24,76,reverse,-0.520,0.540,448.0
27,23,77,reverse,-0.540,0.540,447.0
27,22,78,reverse,-0.560,0.540,443.0
27,21,79,reverse,-0.580,0.540,441.0
27,20,80,reverse,-0.600,0.540,442.0
27,19,81,reverse,-0.620,0.540,440.0
27,18,82,reverse,-0.640,0.540,439.0
27,17,83,reverse,-0.660,0.540,438.0
27,16,84,reverse,-0.680,0.540,435.0
27,15,85,reverse,-0.700,0.540,435.0
27,14,86,reverse,-0.720,0.540,437.0
27,13,87,reverse,-0.740,0.540,434.0
27,12,88,reverse,-0.760,0.540,432.0
27,11,89,reverse,-0.780,0.540,434.0
27,10,90,reverse,-0.800,0.540,436.0
27,9,91,reverse,-0.820,0.540,432.0
27,8,92,reverse,-0.840,0.540,432.0
27,7,93,reverse,-0.860,0.540,430.0
27,6,94,reverse,-0.880,0.540,431.0
27,5,95,reverse,-0.900,0.540,431.0
27,4,96,reverse,-0.920,0.540,434.0
27,3,97,reverse,-0.940,0.540,432.0
27,2,98,reverse,-0.960,0.540,430.0
27,1,99,reverse,-0.980,0.540,430.0
27,0,100,reverse,-1.000,0.540,426.0
