row_index,column_index,acquisition_index,scan_direction,x_voltage,y_voltage,intensity
19,100,0,reverse,1.000,-0.620,449.0
19,99,1,reverse,0.980,-0.620,450.0
19,98,2,reverse,0.960,-0.620,447.0
19,97,3,reverse,0.940,-0.620,451.0
19,96,4,reverse,0.920,-0.620,452.0
19,95,5,reverse,0.900,-0.620,453.0
19,94,6,reverse,0.880,-0.620,451.0
19,93,7,reverse,0.860,-0.620,449.0
19,92,8,reverse,0.840,-0.620,450.0
19,91,9,reverse,0.820,-0.620,450.0
19,90,10,reverse,0.800,-0.620,448.0
19,89,11,reverse,0.780,-0.620,450.0
19,88,12,reverse,0.760,-0.620,449.0
19,87,13,reverse,0.740,-0.620,450.0
19,86,14,reverse,0.720,-0.620,451.0
19,85,15,reverse,0.700,-0.620,450.0
19,84,16,reverse,0.680,-0.620,448.0
19,83,17,reverse,0.660,-0.620,450.0
19,82,18,reverse,0.640,-0.620,451.0
19,81,19,reverse,0.620,-0.620,450.0
19,80,20,reverse,0.600,-0.620,450.0
19,79,21,reverse,0.580,-0.620,451.0
19,78,22,reverse,0.560,-0.620,451.0
19,77,23,reverse,0.540,-0.620,451.0
19,76,24,reverse,0.520,-0.620,450.0
19,75,25,reverse,0.500,-0.620,451.0
19,74,26,reverse,0.480,-0.620,449.0
19,73,27,reverse,0.460,-0.620,451.0
19,72,28,reverse,0.440,-0.620,451.0
19,71,29,reverse,0.420,-0.620,450.0
19,70,30,reverse,0.400,-0.620,450.0
19,69,31,reverse,0.380,-0.620,450.0
19,68,32,reverse,0.360,-0.620,450.0
19,67,33,reverse,0.340,-0.620,448.0
19,66,34,reverse,0.320,-0.620,449.0
19,65,35,reverse,0.300,-0.620,452.0
19,64,36,reverse,0.280,-0.620,451.0
19,63,37,reverse,0.260,-0.620,450.0
19,62,38,reverse,0.240,-0.620,450.0
19,61,39,reverse,0.220,-0.620,450.0
19,60,40,reverse,0.200,-0.620,451.0
19,59,41,reverse,0.180,-0.620,449.0
19,58,42,reverse,0.160,-0.620,450.0
19,57,43,reverse,0.140,-0.620,450.0
19,56,44,reverse,0.120,-0.620,450.0
19,55,45,reverse,0.100,-0.620,450.0
19,54,46,reverse,0.080,-0.620,450.0
19,53,47,reverse,0.060,-0.620,450.0
19,52,48,reverse,0.040,-0.620,451.0
19,51,49,reverse,0.020,-0.620,450.0
19,50,50,reverse,0.000,-0.620,451.0
19,49,51,reverse,-0.020,-0.620,448.0
19,48,52,reverse,-0.040,-0.620,452.0
19,47,53,reverse,-0.060,-0.620,452.0
19,46,54,reverse,-0.080,-0.620,450.0
19,45,55,reverse,-0.100,-0.620,449.0
19,44,56,reverse,-0.120,-0.620,453.0
19,43,57,reverse,-0.140,-0.620,450.0
19,42,58,reverse,-0.160,-0.620,448.0
19,41,59,reverse,-0.180,-0.620,450.0
19,40,60,reverse,-0.200,-0.620,450.0
19,39,61,reverse,-0.220,-0.620,451.0
19,38,62,reverse,-0.240,-0.620,450.0
19,37,63,reverse,-0.260,-0.620,451.0
19,36,64,reverse,-0.280,-0.620,449.0
19,35,65,reverse,-0.300,-0.620,450.0
19,34,66,reverse,-0.320,-0.620,450.0
19,33,67,reverse,-0.340,-0.620,450.0
19,32,68,reverse,-0.360,-0.620,450.0
19,31,69,reverse,-0.380,-0.620,451.0
19,30,70,reverse,-0.400,-0.620,450.0
19,29,71,reverse,-0.420,-0.620,451.0
19,28,72,reverse,-0.440,-0.620,447.0
19,27,73,reverse,-0.460,-0.620,450.0
19,26,74,reverse,-0.480,-0.620,451.0
19,25,75,reverse,-0.500,-0.620,451.0
19,24,76,reverse,-0.520,-0.620,450.0
19,23,77,reverse,-0.540,-0.620,450.0
19,22,78,reverse,-0.560,-0.620,450.0
19,21,79,reverse,-0.580,-0.620,450.0
19,20,80,reverse,-0.600,-0.620,450.0
19,19,81,reverse,-0.620,-0.620,451.0
19,18,82,reverse,-0.640,-0.620,450.0
19,17,83,reverse,-0.660,-0.620,450.0
19,16,84,reverse,-0.680,-0.620,451.0
19,15,85,reverse,-0.700,-0.620,450.0
19,14,86,reverse,-0.720,-0.620,450.0
19,13,87,reverse,-0.740,-0.620,449.0
19,12,88,reverse,-0.760,-0.620,451.0
19,11,89,reverse,-0.780,-0.620,451.0
19,10,90,reverse,-0.800,-0.620,451.0
19,9,91,reverse,-0.820,-0.620,450.0
19,8,92,reverse,-0.840,-0.620,451.0
19,7,93,reverse,-0.860,-0.620,451.0
19,6,94,reverse,-0.880,-0.620,450.0
19,5,95,reverse,-0.900,-0.620,450.0
19,4,96,reverse,-0.920,-0.620,450.0
19,3,97,reverse,-0.940,-0.620,450.0
19,2,98,reverse,-0.960,-0.620,451.0
19,1,99,reverse,-0.980,-0.620,451.0
19,0,100,reverse,-1.000,-0.620,451.0
